order_date,revenue
2026-01-01,508026.97
2026-01-02,348818.3
2026-01-03,365925.55
2026-01-04,354101.01
2026-01-05,354901.28
2026-01-06,381502.65
2026-01-07,428669.6
2026-01-08,263055.52
2026-01-09,370191.19
2026-01-10,524575.96
2026-01-11,369513.01
2026-01-12,496519.53
2026-01-13,486920.77
2026-01-14,323042.26
2026-01-15,341183.92
2026-01-16,382344.02
2026-01-17,401562.57
2026-01-18,394440.05
2026-01-19,374508.05
2026-01-20,334116.87
2026-01-21,366913.55
2026-01-22,540014.3
2026-01-23,302137.83
2026-01-24,446938.47
2026-01-25,484075.95
2026-01-26,657333.76
2026-01-27,383270.8
2026-01-28,493340.57
2026-01-29,547594.53
2026-01-30,638001.25
2026-01-31,452796.22
2026-02-01,418219.29
2026-02-02,428807.38
2026-02-03,473733.11
2026-02-04,409359.9
2026-02-05,485799.79
2026-02-06,585702.14
2026-02-07,535985.3
2026-02-08,629073.97
2026-02-09,377520.39
2026-02-10,390009.33
2026-02-11,282556.07
2026-02-12,342353.61
2026-02-13,424615.93
2026-02-14,274135.0
2026-02-15,345065.73
2026-02-16,350821.14
2026-02-17,332051.33
2026-02-18,377561.95
2026-02-19,293785.5
2026-02-20,402319.01
2026-02-21,266625.4
2026-02-22,487423.53
2026-02-23,416157.83
2026-02-24,460055.3
2026-02-25,691361.97
2026-02-26,356645.65
2026-02-27,280965.16
2026-02-28,555904.14
2026-03-01,538544.12
2026-03-02,343618.31
2026-03-03,708204.89
2026-03-04,476747.7
2026-03-05,534862.54
2026-03-06,458486.79
2026-03-07,650251.02
2026-03-08,375347.17
2026-03-09,491087.81
2026-03-10,367359.64
2026-03-11,351084.34
2026-03-12,507772.11
2026-03-13,508955.91
2026-03-14,454895.28
2026-03-15,380942.31
2026-03-16,591581.66
2026-03-17,351441.97
2026-03-18,523533.49
2026-03-19,524372.43
2026-03-20,462160.51
2026-03-21,481374.55
2026-03-22,403699.16
2026-03-23,485575.36
2026-03-24,510525.54
2026-03-25,280487.95
2026-03-26,468715.06
2026-03-27,431587.84
2026-03-28,371229.03
2026-03-29,294550.03
2026-03-30,336869.23
2026-03-31,286109.84
2026-04-01,514000.03
2026-04-02,396529.78
2026-04-03,294404.04
2026-04-04,599419.66
2026-04-05,308664.31
2026-04-06,375598.29
2026-04-07,457027.69
2026-04-08,301807.77
2026-04-09,284051.4
2026-04-10,485740.0
2026-04-11,450250.78
2026-04-12,372199.85
2026-04-13,390757.74
2026-04-14,471511.07
2026-04-15,357617.61
2026-04-16,456189.9
2026-04-17,464347.36
2026-04-18,643447.45
2026-04-19,367702.65
2026-04-20,285997.6
2026-04-21,273938.46
2026-04-22,314639.65
2026-04-23,470125.28
2026-04-24,459023.25
2026-04-25,453501.4
2026-04-26,367902.89
2026-04-27,545115.83
2026-04-28,506932.36
2026-04-29,541125.02
2026-04-30,370289.26
2026-05-01,517990.45
2026-05-02,556487.21
2026-05-03,342538.58
2026-05-04,347962.08
2026-05-05,288117.28
2026-05-06,409323.72
2026-05-07,436006.03
2026-05-08,412759.8
2026-05-09,151962.72
2026-05-10,388685.46
2026-05-11,431704.96
2026-05-12,474637.97
2026-05-13,357152.52
2026-05-14,623231.93
2026-05-15,508490.25
2026-05-16,520159.34
2026-05-17,614826.84
2026-05-18,463701.58
2026-05-19,287683.68
2026-05-20,434046.97
2026-05-21,651923.14
2026-05-22,516007.45
2026-05-23,512323.94
2026-05-24,418073.81
2026-05-25,328333.14
2026-05-26,415152.5
2026-05-27,421390.03
2026-05-28,447755.93
2026-05-29,382956.21
2026-05-30,412002.66
2026-05-31,380153.47
2026-06-01,240939.19
2026-06-02,445068.38
2026-06-03,428913.55
2026-06-04,509579.99
2026-06-05,308900.78
2026-06-06,240058.0
2026-06-07,343074.44
2026-06-08,276531.52
2026-06-09,227834.15
2026-06-10,306463.16
2026-06-11,472804.71
2026-06-12,642912.14
2026-06-13,338912.91
2026-06-14,351554.29
2026-06-15,369955.05
2026-06-16,460557.44
2026-06-17,556397.31
2026-06-18,541048.92
2026-06-19,282778.69
2026-06-20,540971.7
2026-06-21,320702.8
2026-06-22,374832.58
2026-06-23,315012.21
2026-06-24,182340.32
2026-06-25,470965.48
2026-06-26,624419.97
2026-06-27,334563.62
2026-06-28,543811.72
2026-06-29,539164.69
2026-06-30,398500.57
2026-07-01,591777.61
2026-07-02,418598.45
2026-07-03,324430.22
2026-07-04,445222.74
2026-07-05,398456.53
2026-07-06,305930.51
2026-07-07,494933.68
2026-07-08,604881.84
2026-07-09,343791.95
2026-07-10,463253.12
2026-07-11,583407.42
2026-07-12,387549.36
2026-07-13,320197.62
2026-07-14,314384.69
2026-07-15,577520.03
2026-07-16,454300.99
2026-07-17,479393.86
2026-07-18,333088.71
2026-07-19,409842.08
2026-07-20,457023.87
2026-07-21,287005.18
2026-07-22,432937.72
2026-07-23,224454.92
2026-07-24,214400.24
2026-07-25,497885.87
2026-07-26,327746.61
2026-07-27,570891.31
2026-07-28,507459.38
2026-07-29,420882.46
2026-07-30,317745.8
2026-07-31,453935.87
2026-08-01,299434.0
2026-08-02,292870.91
2026-08-03,506680.56
2026-08-04,460066.66
2026-08-05,426807.35
2026-08-06,215666.57
2026-08-07,460641.81
2026-08-08,633221.23
2026-08-09,355339.27
2026-08-10,559445.08
2026-08-11,356946.15
2026-08-12,340478.06
2026-08-13,371110.86
2026-08-14,438863.63
2026-08-15,432754.99
2026-08-16,467290.77
2026-08-17,538120.38
2026-08-18,493218.46
2026-08-19,140289.92
2026-08-20,445810.64
