product_name,units_sold,revenue
Washing Machine,887.0,5883402.65
Cricket Bat,775.0,5305233.18
Gym Gloves,666.0,5229727.54
Biography,744.0,5005860.04
Football,777.0,4917603.11
Jacket,701.0,4765122.67
Data Science Book,715.0,4619301.67
Shoes,554.0,4565357.64
Air Conditioner,585.0,4342066.74
Microwave,628.0,3953171.12
Yoga Mat,578.0,3952018.82
Jeans,528.0,3926217.92
Business Book,532.0,3787533.68
Laptop,510.0,3785163.02
Mixer,587.0,3771727.6
Badminton Racket,555.0,3416545.93
Mobile Phone,469.0,3281190.35
Programming Book,604.0,3036653.3
Power Bank,409.0,2904694.18
Smart Watch,437.0,2775164.53
